,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased
0,2020-01-01,0.0,0.0,0.0,0.0
1,2020-01-02,0.0,0.0,0.0,0.0
2,2020-01-03,0.0,0.0,0.0,0.0
3,2020-01-04,0.0,0.0,0.0,0.0
4,2020-01-05,0.0,0.0,0.0,0.0
5,2020-01-06,0.0,0.0,0.0,0.0
6,2020-01-07,0.0,0.0,0.0,0.0
7,2020-01-08,0.0,0.0,0.0,0.0
8,2020-01-09,0.0,0.0,0.0,0.0
9,2020-01-10,0.0,0.0,0.0,0.0
10,2020-01-11,0.0,0.0,0.0,0.0
11,2020-01-12,0.0,0.0,0.0,0.0
12,2020-01-13,0.0,0.0,0.0,0.0
13,2020-01-14,0.0,0.0,0.0,0.0
14,2020-01-15,0.0,0.0,0.0,0.0
15,2020-01-16,0.0,0.0,0.0,0.0
16,2020-01-17,0.0,0.0,0.0,0.0
17,2020-01-18,1.0,0.0,1.0,0.0
18,2020-01-19,0.0,0.0,1.0,0.0
19,2020-01-20,0.0,0.0,1.0,0.0
20,2020-01-21,0.0,0.0,1.0,0.0
21,2020-01-22,4.0,0.0,4.0,0.0
22,2020-01-23,2.0,0.0,6.0,0.0
23,2020-01-24,1.0,0.0,7.0,0.0
24,2020-01-25,0.0,0.0,7.0,0.0
25,2020-01-26,1.0,0.0,8.0,0.0
26,2020-01-27,0.0,0.0,8.0,0.0
27,2020-01-28,0.0,0.0,8.0,0.0
28,2020-01-29,0.0,0.0,8.0,0.0
29,2020-01-30,0.0,0.0,8.0,0.0
30,2020-01-31,1.0,0.0,9.0,0.0
31,2020-02-01,1.0,0.0,10.0,0.0
32,2020-02-02,3.0,0.0,13.0,0.0
33,2020-02-03,4.0,0.0,17.0,0.0
34,2020-02-04,2.0,0.0,19.0,0.0
35,2020-02-05,0.0,0.0,19.0,0.0
36,2020-02-06,0.0,0.0,19.0,0.0
37,2020-02-07,1.0,0.0,20.0,0.0
38,2020-02-08,0.0,0.0,20.0,0.0
39,2020-02-09,0.0,0.0,20.0,0.0
40,2020-02-10,0.0,0.0,20.0,0.0
41,2020-02-11,0.0,0.0,20.0,0.0
42,2020-02-12,2.0,0.0,22.0,0.0
43,2020-02-13,1.0,0.0,23.0,0.0
44,2020-02-14,1.0,0.0,24.0,0.0
45,2020-02-15,0.0,0.0,24.0,0.0
46,2020-02-16,0.0,0.0,24.0,0.0
47,2020-02-17,2.0,0.0,26.0,0.0
48,2020-02-18,5.0,0.0,31.0,0.0
49,2020-02-19,3.0,0.0,34.0,0.0
50,2020-02-20,1.0,0.0,35.0,0.0
51,2020-02-21,5.0,0.0,40.0,0.0
52,2020-02-22,8.0,0.0,48.0,0.0
53,2020-02-23,0.0,0.0,48.0,0.0
54,2020-02-24,4.0,0.0,52.0,0.0
55,2020-02-25,4.0,0.0,56.0,0.0
56,2020-02-26,8.0,0.0,64.0,0.0
57,2020-02-27,5.0,1.0,69.0,1.0
58,2020-02-28,4.0,0.0,73.0,1.0
59,2020-02-29,9.0,1.0,82.0,2.0
60,2020-03-01,18.0,0.0,100.0,2.0
61,2020-03-02,34.0,6.0,134.0,8.0
62,2020-03-03,51.0,3.0,185.0,11.0
63,2020-03-04,70.0,1.0,255.0,12.0
64,2020-03-05,77.0,3.0,332.0,15.0
65,2020-03-06,125.0,3.0,457.0,18.0
66,2020-03-07,143.0,5.0,600.0,23.0
67,2020-03-08,206.0,4.0,806.0,27.0
68,2020-03-09,384.0,4.0,1190.0,31.0
69,2020-03-10,476.0,7.0,1666.0,38.0
70,2020-03-11,472.0,12.0,2138.0,50.0
71,2020-03-12,665.0,7.0,2803.0,57.0
72,2020-03-13,799.0,10.0,3602.0,67.0
73,2020-03-14,864.0,12.0,4466.0,79.0
74,2020-03-15,1542.0,19.0,6008.0,98.0
75,2020-03-16,1723.0,17.0,7731.0,115.0
76,2020-03-17,2179.0,22.0,9910.0,137.0
77,2020-03-18,2769.0,55.0,12679.0,192.0
78,2020-03-19,3656.0,58.0,16335.0,250.0
79,2020-03-20,4568.0,68.0,20903.0,318.0
80,2020-03-21,5437.0,85.0,26340.0,403.0
81,2020-03-22,6844.0,73.0,33184.0,476.0
